variable,family,year,present_in_schema,label,same_broad_meaning_as_first_available_year,user_note_hazard_summary,stacking_assessment
PNUM,id_key,2021,Y,Person number,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
PNUM,id_key,2022,Y,Person number,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
PNUM,id_key,2023,Y,Person number,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
PNUM,id_key,2024,Y,Person number,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
MONTHCODE,id_key,2018,Y,Value of reference month,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
MONTHCODE,id_key,2019,Y,Value of reference month,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
MONTHCODE,id_key,2020,Y,Value of reference month,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
MONTHCODE,id_key,2021,Y,Value of reference month,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
MONTHCODE,id_key,2022,Y,Value of reference month,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
MONTHCODE,id_key,2023,Y,Value of reference month,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
MONTHCODE,id_key,2024,Y,Value of reference month,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable for stacking by variable name.
SPANEL,time_structure,2018,Y,Panel year,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SPANEL,time_structure,2019,Y,Panel year,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SPANEL,time_structure,2020,Y,Panel year,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SPANEL,time_structure,2021,Y,Panel year,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SPANEL,time_structure,2022,Y,Panel year,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SPANEL,time_structure,2023,Y,Panel year,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SPANEL,time_structure,2024,Y,Panel year,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SWAVE,time_structure,2018,Y,Wave number of interview,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SWAVE,time_structure,2019,Y,Wave number of interview,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SWAVE,time_structure,2020,Y,Wave number of interview,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SWAVE,time_structure,2021,Y,Wave number of interview,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SWAVE,time_structure,2022,Y,Wave number of interview,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SWAVE,time_structure,2023,Y,Wave number of interview,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
SWAVE,time_structure,2024,Y,Wave number of interview,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names, but interpretation requires release-year vs panel-year care."
TEHC_ST,geography,2018,Y,Monthly state of residence,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TEHC_ST,geography,2019,Y,Monthly state of residence,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TEHC_ST,geography,2020,Y,Monthly state of residence,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TEHC_ST,geography,2021,Y,Monthly state of residence,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TEHC_ST,geography,2022,Y,Monthly state of residence,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TEHC_ST,geography,2023,Y,Monthly state of residence,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TEHC_ST,geography,2024,Y,Monthly state of residence,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TST_INTV,geography,2018,Y,State of residence for the interview address,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TST_INTV,geography,2019,Y,State of residence for the interview address,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TST_INTV,geography,2020,Y,State of residence for the interview address,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TST_INTV,geography,2021,Y,State of residence for the interview address,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TST_INTV,geography,2022,Y,State of residence for the interview address,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TST_INTV,geography,2023,Y,State of residence for the interview address,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TST_INTV,geography,2024,Y,State of residence for the interview address,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable names; state merge concept still needs design validation.
TMOVER,geography_move,2018,Y,Recoded variable indicating mover status,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names; use for diagnostics, not as sole state linker."
TMOVER,geography_move,2019,Y,Recoded variable indicating mover status,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names; use for diagnostics, not as sole state linker."
TMOVER,geography_move,2020,Y,Recoded variable indicating mover status,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names; use for diagnostics, not as sole state linker."
TMOVER,geography_move,2021,Y,Recoded variable indicating mover status,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names; use for diagnostics, not as sole state linker."
TMOVER,geography_move,2022,Y,Recoded variable indicating mover status,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names; use for diagnostics, not as sole state linker."
TMOVER,geography_move,2023,Y,Recoded variable indicating mover status,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names; use for diagnostics, not as sole state linker."
TMOVER,geography_move,2024,Y,Recoded variable indicating mover status,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,"Stable names; use for diagnostics, not as sole state linker."
RHLTHMTH,monthly_recode,2018,Y,Recode - indicating respondent is insured (private or public coverage) in month (New as of 2014 Panel),YES_EXACT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RHLTHMTH,monthly_recode,2019,Y,Recode - indicating respondent is insured (private or public coverage) in month (New as of 2014 Panel),YES_EXACT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RHLTHMTH,monthly_recode,2020,Y,Recode - indicating respondent is insured (private or public coverage) in month (New as of 2014 Panel),YES_EXACT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RHLTHMTH,monthly_recode,2021,Y,Has any health insurance coverage  (private health insurance coverage/public health insurance coverage) in the current month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RHLTHMTH,monthly_recode,2022,Y,Has any health insurance coverage (private health insurance coverage/public health insurance coverage) in the current month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RHLTHMTH,monthly_recode,2023,Y,Has any health insurance coverage (private health insurance or public health coverage) in the current month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RHLTHMTH,monthly_recode,2024,Y,Has any health insurance coverage (private health insurance or public health coverage) in the current month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RPUBMTH,monthly_recode,2018,Y,Monthly recode- Public Coverage during the month (New as of 2014 Panel),YES_EXACT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RPUBMTH,monthly_recode,2019,Y,Monthly recode- Public Coverage during the month (New as of 2014 Panel),YES_EXACT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RPUBMTH,monthly_recode,2020,Y,Monthly recode- Public Coverage during the month (New as of 2014 Panel),YES_EXACT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RPUBMTH,monthly_recode,2021,Y,Has Public health insurance coverage in the current month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RPUBMTH,monthly_recode,2022,Y,Has Public health insurance coverage in the current month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RPUBMTH,monthly_recode,2023,Y,Has Public health insurance coverage in this month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RPUBMTH,monthly_recode,2024,Y,Has Public health insurance coverage in this month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2024 no matching official error note checked yet,Stackable only after year-specific correction/triage for 2018-2023.
RPUBTYPE2,monthly_recode,2018,Y,Recode - Medical Assistance Public Coverage during the month,YES_EXACT,2018-2023 monthly_hi_processing_error; concept overlap with other public assistance needs care in all years,Stackable only after year-specific correction/triage for 2018-2023.
RPUBTYPE2,monthly_recode,2019,Y,Recode - Medical Assistance Public Coverage during the month,YES_EXACT,2018-2023 monthly_hi_processing_error; concept overlap with other public assistance needs care in all years,Stackable only after year-specific correction/triage for 2018-2023.
RPUBTYPE2,monthly_recode,2020,Y,Recode - Medical Assistance Public Coverage during the month,YES_EXACT,2018-2023 monthly_hi_processing_error; concept overlap with other public assistance needs care in all years,Stackable only after year-specific correction/triage for 2018-2023.
RPUBTYPE2,monthly_recode,2021,Y,Has Medical Assistance (Medicaid) health insurance coverage in the current month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; concept overlap with other public assistance needs care in all years,Stackable only after year-specific correction/triage for 2018-2023.
RPUBTYPE2,monthly_recode,2022,Y,Has Medical Assistance (Medicaid) health insurance coverage in the current month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; concept overlap with other public assistance needs care in all years,Stackable only after year-specific correction/triage for 2018-2023.
RPUBTYPE2,monthly_recode,2023,Y,Has Medicaid/Medical Assistance health insurance coverage in this month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; concept overlap with other public assistance needs care in all years,Stackable only after year-specific correction/triage for 2018-2023.
RPUBTYPE2,monthly_recode,2024,Y,Has Medicaid/Medical Assistance health insurance coverage in this month,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; concept overlap with other public assistance needs care in all years,Stackable only after year-specific correction/triage for 2018-2023.
EMDMTH,monthly_indicator,2018,Y,Edited Monthly Indicator for Medical Assistance (Medicaid) Coverage,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2022 also linked to medicaid_end_month_error via spell fields,Stackable only after year-specific correction/triage for 2018-2023.
EMDMTH,monthly_indicator,2019,Y,Edited Monthly Indicator for Medical Assistance (Medicaid) Coverage,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2022 also linked to medicaid_end_month_error via spell fields,Stackable only after year-specific correction/triage for 2018-2023.
EMDMTH,monthly_indicator,2020,Y,Edited Monthly Indicator for Medical Assistance (Medicaid) Coverage,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2022 also linked to medicaid_end_month_error via spell fields,Stackable only after year-specific correction/triage for 2018-2023.
EMDMTH,monthly_indicator,2021,Y,Edited Monthly Indicator for Medical Assistance (Medicaid) (use recode RPUBTYP2 for complete Medicaid coverage),YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2022 also linked to medicaid_end_month_error via spell fields,Stackable only after year-specific correction/triage for 2018-2023.
EMDMTH,monthly_indicator,2022,Y,Edited Monthly Indicator for Medical Assistance (Medicaid) (use recode RPUBTYP2 for complete Medicaid coverage),YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2022 also linked to medicaid_end_month_error via spell fields,Stackable only after year-specific correction/triage for 2018-2023.
EMDMTH,monthly_indicator,2023,Y,Edited monthly indicator for Medicaid/Medical Assistance,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2022 also linked to medicaid_end_month_error via spell fields,Stackable only after year-specific correction/triage for 2018-2023.
EMDMTH,monthly_indicator,2024,Y,Edited monthly indicator for Medicaid/Medical Assistance,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2022 also linked to medicaid_end_month_error via spell fields,Stackable only after year-specific correction/triage for 2018-2023.
EMD_BMONTH,spell_variable,2018,Y,Begin month of Medicaid spell.,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_BMONTH,spell_variable,2019,Y,Begin month of Medicaid spell.,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_BMONTH,spell_variable,2020,Y,Begin month of Medicaid spell.,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_BMONTH,spell_variable,2021,Y,Begin month of Medical Assistance (Medicaid) health insurance coverage spell,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_BMONTH,spell_variable,2022,Y,Begin month of Medical Assistance (Medicaid) health insurance coverage spell,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_BMONTH,spell_variable,2023,Y,Begin month of Medicaid/Medical Assistance health insurance coverage spell,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_BMONTH,spell_variable,2024,Y,Begin month of Medicaid/Medical Assistance health insurance coverage spell,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_EMONTH,spell_variable,2018,Y,Last month of Medicaid spell.,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2022 medicaid_end_month_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_EMONTH,spell_variable,2019,Y,Last month of Medicaid spell.,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2022 medicaid_end_month_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_EMONTH,spell_variable,2020,Y,Last month of Medicaid spell.,YES_EXACT,2018-2023 monthly_hi_processing_error; 2018-2022 medicaid_end_month_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_EMONTH,spell_variable,2021,Y,Last month of Medical Assistance (Medicaid) health insurance coverage spell,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2022 medicaid_end_month_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_EMONTH,spell_variable,2022,Y,Last month of Medical Assistance (Medicaid) health insurance coverage spell,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2022 medicaid_end_month_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_EMONTH,spell_variable,2023,Y,End month of Medicaid/Medical Assistance health insurance coverage spell,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2022 medicaid_end_month_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
EMD_EMONTH,spell_variable,2024,Y,End month of Medicaid/Medical Assistance health insurance coverage spell,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; 2018-2022 medicaid_end_month_error; 2018-2023 status_flag_error; 2021+ feedback_spell_fix comparability caution,Do not stack raw values across 2018-2023 without correction.
RMD_CFLG,spell_flag,2018,Y,Recode variable indicating  Medical Assistance (Medicaid) coverage continued beyond month 12.,YES_EXACT,2018-2023 monthly_hi_processing_error and status_flag_error,Do not trust raw values across 2018-2023 without correction.
RMD_CFLG,spell_flag,2019,Y,Recode variable indicating  Medical Assistance (Medicaid) coverage continued beyond month 12.,YES_EXACT,2018-2023 monthly_hi_processing_error and status_flag_error,Do not trust raw values across 2018-2023 without correction.
RMD_CFLG,spell_flag,2020,Y,Recode variable indicating  Medical Assistance (Medicaid) coverage continued beyond month 12.,YES_EXACT,2018-2023 monthly_hi_processing_error and status_flag_error,Do not trust raw values across 2018-2023 without correction.
RMD_CFLG,spell_flag,2021,Y,Variable indicating Medical Assistance (Medicaid) health insurance coverage continued beyond month 12.,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error and status_flag_error,Do not trust raw values across 2018-2023 without correction.
RMD_CFLG,spell_flag,2022,Y,Variable indicating Medical Assistance (Medicaid) health insurance coverage continued beyond month 12.,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error and status_flag_error,Do not trust raw values across 2018-2023 without correction.
RMD_CFLG,spell_flag,2023,Y,Flag indicating continuation status of Medicaid/Medical Assistance health insurance coverage in the last month of the reference period,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error and status_flag_error,Do not trust raw values across 2018-2023 without correction.
RMD_CFLG,spell_flag,2024,Y,Flag indicating continuation status of Medicaid/Medical Assistance health insurance coverage in the last month of the reference period,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error and status_flag_error,Do not trust raw values across 2018-2023 without correction.
WPFINWGT,calendar_weight,2018,Y,Final person weight,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable in main file; calendar-year estimation must follow December rule.
WPFINWGT,calendar_weight,2019,Y,Final person weight,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable in main file; calendar-year estimation must follow December rule.
WPFINWGT,calendar_weight,2020,Y,Final person weight,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable in main file; calendar-year estimation must follow December rule.
WPFINWGT,calendar_weight,2021,Y,Final person weight,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable in main file; calendar-year estimation must follow December rule.
WPFINWGT,calendar_weight,2022,Y,Final person weight,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable in main file; calendar-year estimation must follow December rule.
WPFINWGT,calendar_weight,2023,Y,Final person weight,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable in main file; calendar-year estimation must follow December rule.
WPFINWGT,calendar_weight,2024,Y,Final person weight,YES_EXACT,No health-insurance-specific user note located for this variable in the current audit.,Stable in main file; calendar-year estimation must follow December rule.
RHICOVANN,annual_recode,2018,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RHICOVANN,annual_recode,2019,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RHICOVANN,annual_recode,2020,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RHICOVANN,annual_recode,2021,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RHICOVANN,annual_recode,2022,Y,Annual health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RHICOVANN,annual_recode,2023,Y,Annual health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RHICOVANN,annual_recode,2024,Y,Annual health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPRIVANN,annual_recode,2018,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPRIVANN,annual_recode,2019,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPRIVANN,annual_recode,2020,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPRIVANN,annual_recode,2021,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPRIVANN,annual_recode,2022,Y,Annual private health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPRIVANN,annual_recode,2023,Y,Annual private health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPRIVANN,annual_recode,2024,Y,Annual private health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPUBANN,annual_recode,2018,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPUBANN,annual_recode,2019,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPUBANN,annual_recode,2020,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPUBANN,annual_recode,2021,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPUBANN,annual_recode,2022,Y,Annual public health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPUBANN,annual_recode,2023,Y,Annual Public health insurance coverage recode,YES_WORDING_SHIFT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RPUBANN,annual_recode,2024,Y,Annual Public health insurance coverage recode,YES_WORDING_SHIFT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RMCAIDANN,annual_recode,2018,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RMCAIDANN,annual_recode,2019,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RMCAIDANN,annual_recode,2020,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RMCAIDANN,annual_recode,2021,N,,NO,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RMCAIDANN,annual_recode,2022,Y,Annual Medicaid/Medical Assistance health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RMCAIDANN,annual_recode,2023,Y,Annual Medicaid/Medical Assistance health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
RMCAIDANN,annual_recode,2024,Y,Annual Medicaid/Medical Assistance health insurance coverage recode,YES_EXACT,2022-2024 annual_recode_introduction; not available 2018-2021,Not available before 2022; cross-year annual stacking requires harmonization/back-construction.
EPR_SCRNR,scrnr,2018,Y,Edited indicator for Private Lines 1 & 2 health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
