top_two_selection_variant,exposure_universe,default_mapping_rule,premium_variant,issuer_concept,pooled_any_turnover_county_years,pooled_across_issuer_turnover_county_years,pooled_within_issuer_turnover_county_years,pooled_any_turnover_enrollee_years_millions,pooled_across_issuer_enrollee_years_millions,difference_vs_drake_any_count,difference_vs_drake_across_count,difference_vs_drake_any_enrollee_millions,difference_vs_drake_across_enrollee_millions,by_year_2022_any,by_year_2023_any,by_year_2024_any,by_year_2022_across,by_year_2023_across,by_year_2024_across,constructible_county_years,drake_text_support,notes
county_rating_area_specific_top_two,exactly_two_plans,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,exactly_two_plans,source_order_first_valid,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,current_repo_rule,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
county_rating_area_specific_top_two,include_ties_at_second_lowest,source_order_first_valid,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Tests county/rating-area collapse issues.
current_repo_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,exactly_two_plans,current_repo_rule,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,exactly_two_plans,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,exactly_two_plans,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,exactly_two_plans,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,exactly_two_plans,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,exactly_two_plans,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,exactly_two_plans,source_order_first_valid,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,current_repo_rule,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
current_repo_top_two,include_ties_at_second_lowest,source_order_first_valid,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,plausible,"Baseline: age-40 gross premium, deduplicate PlanId, tie-break by issuer_id and PlanId."
exclude_child_only_or_limited_plans,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,exactly_two_plans,current_repo_rule,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,exactly_two_plans,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,exactly_two_plans,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,exactly_two_plans,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,exactly_two_plans,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,exactly_two_plans,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,exactly_two_plans,source_order_first_valid,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,current_repo_rule,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,source_order_first_valid,gross_only,plan_panel_preferred,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,diagnostic_only,Age-40 premium rows should already exclude child-only-only offers.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,926,0,926,3.841415,0.0,-3526,-211,-24.558584999999997,-0.8,445,269,212,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,963,0,963,3.999522,0.0,-3489,-211,-24.400478,-0.8,444,282,237,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,current_repo_rule,gross_only,plan_panel_preferred,1113,0,1113,4.233671,0.0,-3339,-211,-24.166328999999998,-0.8,491,333,289,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,926,0,926,3.841415,0.0,-3526,-211,-24.558584999999997,-0.8,445,269,212,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,963,0,963,3.999522,0.0,-3489,-211,-24.400478,-0.8,444,282,237,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,1113,0,1113,4.233671,0.0,-3339,-211,-24.166328999999998,-0.8,491,333,289,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,926,0,926,3.841415,0.0,-3526,-211,-24.558584999999997,-0.8,445,269,212,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,963,0,963,3.999522,0.0,-3489,-211,-24.400478,-0.8,444,282,237,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,exactly_two_plans,source_order_first_valid,gross_only,plan_panel_preferred,1113,0,1113,4.233671,0.0,-3339,-211,-24.166328999999998,-0.8,491,333,289,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,current_repo_rule,current_ehb_all_states,plan_panel_preferred,926,0,926,3.841415,0.0,-3526,-211,-24.558584999999997,-0.8,445,269,212,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,current_repo_rule,ehb_named_states_only,plan_panel_preferred,963,0,963,3.999522,0.0,-3489,-211,-24.400478,-0.8,444,282,237,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,current_repo_rule,gross_only,plan_panel_preferred,1113,0,1113,4.233671,0.0,-3339,-211,-24.166328999999998,-0.8,491,333,289,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,926,0,926,3.841415,0.0,-3526,-211,-24.558584999999997,-0.8,445,269,212,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,same_plan_if_available_else_source_order,ehb_named_states_only,plan_panel_preferred,963,0,963,3.999522,0.0,-3489,-211,-24.400478,-0.8,444,282,237,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,same_plan_if_available_else_source_order,gross_only,plan_panel_preferred,1113,0,1113,4.233671,0.0,-3339,-211,-24.166328999999998,-0.8,491,333,289,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,source_order_first_valid,current_ehb_all_states,plan_panel_preferred,926,0,926,3.841415,0.0,-3526,-211,-24.558584999999997,-0.8,445,269,212,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,source_order_first_valid,ehb_named_states_only,plan_panel_preferred,963,0,963,3.999522,0.0,-3489,-211,-24.400478,-0.8,444,282,237,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,source_order_first_valid,gross_only,plan_panel_preferred,1113,0,1113,4.233671,0.0,-3339,-211,-24.166328999999998,-0.8,491,333,289,0,0,0,6477,diagnostic_only,No QHP display/order field was available in the cached panel.
rank_by_ehb_adjusted_gross_premium,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,4005,107,3905,27.349187,0.524394,-447,-104,-1.050812999999998,-0.275606,1591,1218,1196,88,5,14,6477,diagnostic_only,Tests whether non-EHB premium residual changes prior top-two identity.
rank_by_ehb_adjusted_gross_premium,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,4145,123,4038,28.608563,1.192653,-307,-88,0.2085630000000016,0.3926529999999999,1595,1355,1195,96,13,14,6477,diagnostic_only,Tests whether non-EHB premium residual changes prior top-two identity.
rank_by_ehb_adjusted_gross_premium,exactly_two_plans,current_repo_rule,gross_only,plan_panel_preferred,4425,123,4318,29.591047,1.192653,-27,-88,1.191047000000001,0.3926529999999999,1669,1466,1290,96,13,14,6477,diagnostic_only,Tests whether non-EHB premium residual changes prior top-two identity.
