source_path_before_migration,source_file_name_recorded,actual_curated_file_names,curated_paths,source_dataset_key,mapped_dataset_ids,document_type,coverage_status,note,size_bytes,sha256,curated_copy_count,migrated_at_utc
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\PAYE-Variables.xlsx,PAYE-Variables.xlsx,PAYE-Variables.xlsx,curated_dataset_library\d008_ashe_paye_self_assessment\01_core_metadata\PAYE-Variables.xlsx,d008,d008_ashe_paye_self_assessment,variable_list,fills_gap,PAYE variables workbook,29714,b40c2479dda49ab361b9e821183813e761989c05436e20d1f97da1823aaa01c3,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\SA-Variables.xlsx,SA-Variables.xlsx,SA-Variables.xlsx,curated_dataset_library\d008_ashe_paye_self_assessment\01_core_metadata\SA-Variables.xlsx,d008,d008_ashe_paye_self_assessment,variable_list,fills_gap,Self Assessment variables workbook,52895,126afbf9a94322a77c82f254e68e0154a60722aed1f435fb82ab1204a6f473b9,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\creating-the-PAYE-panel-.pdf,creating-the-PAYE-panel-.pdf,creating-the-PAYE-panel-.pdf,curated_dataset_library\d008_ashe_paye_self_assessment\02_supporting_documents\creating-the-PAYE-panel-.pdf,d008,d008_ashe_paye_self_assessment,methodology,supplementary,PAYE panel creation documentation,1269376,777bc0b684ed08b8e653780ba3c7e4242580b379bdd5b542a72819992f2cbd36,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\refs.pdf,refs.pdf,refs.pdf,curated_dataset_library\d008_ashe_paye_self_assessment\02_supporting_documents\refs.pdf,d008,d008_ashe_paye_self_assessment,reference_documentation,supplementary,ASHE/HMRC reference numbers guide,505034,ae603f81ad80b7bd2a32395af27f76e2ee64b678f1484e8044cbea710ae2fffa,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data-Explained-HMRC.pdf,Data-Explained-HMRC.pdf,Data-Explained-HMRC.pdf,curated_dataset_library\d008_ashe_paye_self_assessment\02_supporting_documents\Data-Explained-HMRC.pdf,d008,d008_ashe_paye_self_assessment,data_explained,supplementary,ADR UK Data Explained,333206,18c471f189c0b67a2d22c29bd93ae1f42f4e1e8bb6364ca336a3c5c1ad0d135b,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADR_User_Guide_CIN_CRCS.pdf,ADR_User_Guide_CIN_CRCS.pdf,ADR_User_Guide_CIN_CRCS.pdf,curated_dataset_library\d010_crcs_wales\01_core_metadata\ADR_User_Guide_CIN_CRCS.pdf,d010,d010_crcs_wales,user_guide,already_or_fills_gap,CRCS/CIN user guide,1727796,3f71330bf11577fcb66046cf56cfe796ea4d1a0aad5731c3f8bec9b5072b063d,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data_Explained_-_Children_in_Need_and_Children_Receiving_Care_and_Support__administrative_records_in_Wales.pdf,Data_Explained_-_Children_in_Need_and_Children_Receiving_Care_and_Support__administrative_records_in_Wales.pdf,Data_Explained_-_Children_in_Need_and_Children_Receiving_Care_and_Support__administrative_records_in_Wales.pdf,curated_dataset_library\d010_crcs_wales\02_supporting_documents\Data_Explained_-_Children_in_Need_and_Children_Receiving_Care_and_Support__administrative_records_in_Wales.pdf,d010,d010_crcs_wales,data_explained,supplementary,ADR UK Data Explained; not a full data dictionary,4088712,f85b4d86fb86f7f278086d80027d55472981f634c33e15820cf17963181713df,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data_First_User_Guide_Version_8.2.pdf,Data_First_User_Guide_Version_8.2.pdf,Data_First_User_Guide_Version_8.2.pdf,curated_dataset_library\_shared\01_core_metadata\Data_First_User_Guide_Version_8.2.pdf | curated_dataset_library\d012_data_first_cross_justice\01_core_metadata\Data_First_User_Guide_Version_8.2.pdf | curated_dataset_library\d013_data_first_family_court_cafcass_census2021\01_core_metadata\Data_First_User_Guide_Version_8.2.pdf | curated_dataset_library\d021_moj_dfe_linked_dataset_england\01_core_metadata\Data_First_User_Guide_Version_8.2.pdf,d012;d013;d021,d012_data_first_cross_justice;d013_data_first_family_court_cafcass_census2021;d021_moj_dfe_linked_dataset_england,shared_user_guide,fills_gap,"Shared Data First introductory user guide relevant to Cross-Justice, Family Court, and MoJ-DfE",786369,01a65a6c9fc9a5d62d2ceb0251ad4815c792069e1b11c5be7572c5a46a96ad44,4,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ONS_family_gov_uk_v1.ods,ONS_family_gov_uk_v1.ods,ONS_family_gov_uk_v1.ods,curated_dataset_library\d013_data_first_family_court_cafcass_census2021\01_core_metadata\ONS_family_gov_uk_v1.ods,d013,d013_data_first_family_court_cafcass_census2021,family_court_data_catalogue,fills_gap,Family Court ODS data catalogue; does not cover Cafcass or Census 2021,83757,2034a85a63aa8ba4475aaeb76de4cd269d5151d499aa9785513226474bfb3d4d,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ECHILD_DataCatalogue_v3.1_20251209.xlsx,ECHILD_DataCatalogue_v3.1_20251209.xlsx,ECHILD_DataCatalogue_v3.1_20251209.xlsx,curated_dataset_library\d015_echild_england\01_core_metadata\ECHILD_DataCatalogue_v3.1_20251209.xlsx,d015,d015_echild_england,data_catalogue,fills_gap,ECHILD variable-level data catalogue,1387760,ace09045d1d12e775f50aac66aaba76ec6e38a2b37f2d1f89d164723277047f2,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\database-structure.qmd,database-structure.qmd,database-structure.qmd,curated_dataset_library\d015_echild_england\99_duplicates_or_uncertain\database-structure.qmd,d015,d015_echild_england,auxiliary_page_fragment,not_core_metadata,Small Quarto page fragment referencing a missing static image; not a data dictionary,260,5fd7b36bc87ab97e41d5a7eeea73fa47f529020b2e5eafeda064f3ce69a175a0,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\GRADE_user_guide.pdf,GRADE_user_guide.pdf,GRADE_user_guide.pdf,curated_dataset_library\d017_grading_admissions_england\01_core_metadata\GRADE_user_guide.pdf,d017,d017_grading_admissions_england,user_guide,fills_gap,GRADE user guide,417272,943c11351f04b484d6bc592ddc55a8e38e57bb9c86c6f3473fcb62f433ee8618,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\GRADE_Ofqual_data_specification_shared_V2i__5_.ods,GRADE_Ofqual_data_specification_shared_V2i__5_.ods,GRADE_Ofqual_data_specification_shared_V2i__5_.ods,curated_dataset_library\d017_grading_admissions_england\01_core_metadata\GRADE_Ofqual_data_specification_shared_V2i__5_.ods,d017,d017_grading_admissions_england,data_specification,fills_gap,Ofqual data specification,8230,1973aa63a8cc58a14cd8e2e7bed9a109da27e1b68034d46251123625ae6476ff,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\GRADE_DfE_NPD_Specification_July2025.ods,GRADE_DfE_NPD_Specification_July2025.ods,GRADE_DfE_NPD_Specification_July2025.ods,curated_dataset_library\d017_grading_admissions_england\01_core_metadata\GRADE_DfE_NPD_Specification_July2025.ods,d017,d017_grading_admissions_england,data_specification,fills_gap,DfE NPD data specification,160009,39de6c3bc379271261004e123159b3663e96fb505d7e3473767dbcf204f763f7,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\348_Looked After Children Wales (LACW)_Metadata.csv,348_Looked After Children Wales (LACW)_Metadata.csv,348_Looked After Children Wales (LACW)_Metadata.csv,curated_dataset_library\d019_looked_after_children_wales\01_core_metadata\348_Looked After Children Wales (LACW)_Metadata.csv,d019,d019_looked_after_children_wales,metadata_catalogue,fills_gap,Health Data Gateway dataset metadata export,3781,cd73e25b03d3dc95fbabdf629998c6f72ad108fd8c0f8ae157b2318a174486d4,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\348_Looked After Children Wales (LACW)_Structural_Metadata.csv,348_Looked After Children Wales (LACW)_Structural_Metadata.csv,348_Looked After Children Wales (LACW)_Structural_Metadata.csv,curated_dataset_library\d019_looked_after_children_wales\01_core_metadata\348_Looked After Children Wales (LACW)_Structural_Metadata.csv,d019,d019_looked_after_children_wales,structural_metadata_data_dictionary,fills_gap,Health Data Gateway structural metadata with table/column descriptions,21910,d7e5ca3611b219a14cea26031ea64b745510ea44cde486bc5782a6dd4de5d9fe,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\348_Looked After Children Wales (LACW)_Observations.csv,348_Looked After Children Wales (LACW)_Observations.csv,348_Looked After Children Wales (LACW)_Observations.csv,curated_dataset_library\d019_looked_after_children_wales\02_supporting_documents\348_Looked After Children Wales (LACW)_Observations.csv,d019,d019_looked_after_children_wales,observations_metadata,supplementary,Health Data Gateway observations export,204,5c0e9a746a380ca6b0118eddbd096d38888e6827f5fc87598b710e9d5b249850,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\User-Guide-NMC-Census-2021.pdf,User-Guide-NMC-Census-2021.pdf,User-Guide-NMC-Census-2021.pdf,curated_dataset_library\d022_nmc_register_census2021_england_wales\01_core_metadata\User-Guide-NMC-Census-2021.pdf,d022,d022_nmc_register_census2021_england_wales,user_guide,fills_gap,NMC Census 2021 user guide,276104,db4c3491786f139f74b36cc646facd82d5c77994c065fc2f46d3ea0f5ce73343,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\NMC-Census-Data-Dictionary-2026.xlsx,NMC-Census-Data-Dictionary-2026.xlsx,NMC-Census-Data-Dictionary-2026.xlsx,curated_dataset_library\d022_nmc_register_census2021_england_wales\01_core_metadata\NMC-Census-Data-Dictionary-2026.xlsx,d022,d022_nmc_register_census2021_england_wales,data_dictionary,fills_gap,NMC Census 2021 data dictionary,284729,cf97cb94fc0e32bd6a7075cba3c4566215afca0221b81e26b47f8602ebb5b486,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\1215_Kids? Environment and Health Cohort_Metadata.csv,1215_Kids? Environment and Health Cohort_Metadata.csv,1215_Kids’ Environment and Health Cohort_Metadata.csv,curated_dataset_library\d025_kehc_phase1\01_core_metadata\1215_Kids’ Environment and Health Cohort_Metadata.csv,d025,d025_kehc_phase1,metadata_catalogue,fills_gap_partial,Health Data Gateway metadata export; not variable-level structural metadata,5070,cf7e9428df55c837c36e5c0f21fceb7b853032936fb00e3560a0f0445f275bd9,1,2026-06-15T16:30:34+00:00
d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\eu-farm-structure-survey-data-dictionary.xlsx,eu-farm-structure-survey-data-dictionary.xlsx,eu-farm-structure-survey-data-dictionary.xlsx,curated_dataset_library\_unassigned_or_out_of_scope\eu-farm-structure-survey-data-dictionary.xlsx,UNASSIGNED,UNASSIGNED,auxiliary_or_wrong_dataset,not_counted,Scottish Government Farm Structure Survey data catalogue; not one of the 28 flagship datasets being audited,322431,c0b96326e3031a439a8081afe4a0d7206a667386ba32af8d72feb1eaafb838ef,1,2026-06-15T16:30:34+00:00
downloaded_from:https://api.healthdatagateway.org/api/v1/datasets/export_metadata/311?download_type=metadata,Cafcass_England_CAFE_Gateway311_metadata.csv,Cafcass_England_CAFE_Gateway311_metadata.csv,curated_dataset_library\d013_data_first_family_court_cafcass_census2021\01_core_metadata\Cafcass_England_CAFE_Gateway311_metadata.csv,d013,d013_data_first_family_court_cafcass_census2021,metadata_catalogue,fills_gap,"Health Data Gateway metadata export for Cafcass England (CAFE), gateway id 311",3977,81d8670f22a3d71af74852e7d1cb822b3f961a7e3ddddacddd25d89745367fc0,1,2026-06-15T17:00:55+00:00
downloaded_from:https://api.healthdatagateway.org/api/v1/datasets/export_metadata/311?download_type=structural,Cafcass_England_CAFE_Gateway311_structural_metadata.csv,Cafcass_England_CAFE_Gateway311_structural_metadata.csv,curated_dataset_library\d013_data_first_family_court_cafcass_census2021\01_core_metadata\Cafcass_England_CAFE_Gateway311_structural_metadata.csv,d013,d013_data_first_family_court_cafcass_census2021,structural_metadata_data_dictionary,fills_gap,"Health Data Gateway structural metadata with table/column descriptions for Cafcass England (CAFE), gateway id 311",72039,252cc734e41833281a9f195e0fbf797547a176561be122b9438373a007751f08,1,2026-06-15T17:00:55+00:00
downloaded_from:https://api.healthdatagateway.org/api/v1/datasets/export_metadata/361?download_type=metadata,ONS_2021_Census_CENS_Gateway361_metadata.csv,ONS_2021_Census_CENS_Gateway361_metadata.csv,curated_dataset_library\d013_data_first_family_court_cafcass_census2021\01_core_metadata\ONS_2021_Census_CENS_Gateway361_metadata.csv,d013,d013_data_first_family_court_cafcass_census2021,metadata_catalogue,fills_gap,"Health Data Gateway metadata export for ONS 2021 Census (CENS), gateway id 361",4043,43c87be99bea3228850ef88ccdd4685fdde54c3b3e3340526c1dc96e6fcb5991,1,2026-06-15T17:00:55+00:00
