file_name,dataset_id,dataset_name,doc_type,coverage_status,note,size_bytes,sha256,original_path
ASHE-CEW11-User-Guide-Version-1.1-Drop-1.pdf,d004,ASHE linked to 2011 Census England and Wales,user_guide,fills_gap,WED Drop 1 user guide,640710,60f6c7d95950a73363496d483aafcab7afc8d80e3a20d1e07ba411b1a94c7560,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW11-User-Guide-Version-1.1-Drop-1.pdf
ASHE-CEW11-User-Guide-Version-2.1-Drop-2.pdf,d004,ASHE linked to 2011 Census England and Wales,user_guide,fills_gap,WED Drop 2 user guide,928486,8cc12ccb29a0b56b7762dc48adc3b901d1dbb3c16f0c01c9f46b3a344cecc677,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW11-User-Guide-Version-2.1-Drop-2.pdf
Data_Explained_ASHE-2011_Census_dataset.pdf,d004,ASHE linked to 2011 Census England and Wales,data_explained,supplementary,ADR UK Data Explained,651326,9d9de7676ab7afd86709923b8c0b05cb1a50479a7521c2612c4d97d85a7a1b44,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data_Explained_ASHE-2011_Census_dataset.pdf
ASHE-CEW21-User-Guide-v0.1-beta.pdf,d005,ASHE linked to Census 2021 England and Wales,user_guide,fills_gap,Beta user guide; dataset in development,788361,e5eb255bd7f33f99525d674af2d384eddd75c55bbf92838d64701ebd7411de85,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW21-User-Guide-v0.1-beta.pdf
ASHE-CEW21_DataDictionary_SRS_0.1.xlsx,d005,ASHE linked to Census 2021 England and Wales,data_dictionary,fills_gap,Beta SRS data dictionary; dataset in development,167661,c7c1ad77587010648b7e4f2de12dc31624d6aee403da2ff76b349ce9adc9bc0b,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW21_DataDictionary_SRS_0.1.xlsx
ASHE-CEW21-Synthetic-Fake-Dataset-Guide-v0.1-beta.pdf,d005,ASHE linked to Census 2021 England and Wales,synthetic_data_guide,supplementary,Guide for synthetic fake dataset,178562,686ee42ecabfea79ecbda34d353eb68461eaea87f2369219fb9a71514c14a7ea,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ASHE-CEW21-Synthetic-Fake-Dataset-Guide-v0.1-beta.pdf
synthetic.zip,d005,ASHE linked to Census 2021 England and Wales,synthetic_data,supplementary,Synthetic fake dataset zip,7953913,209a2b0e8229dd421604652c79d4a1b05cdc2734617e3149bf95969671363251,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\synthetic.zip
synthetic (1).zip,d005,ASHE linked to Census 2021 England and Wales,duplicate,duplicate,Byte-identical duplicate of synthetic.zip,7953913,209a2b0e8229dd421604652c79d4a1b05cdc2734617e3149bf95969671363251,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\synthetic (1).zip
MWS-Quick-User-Guide-v02-final-Dec2025.docx,d007,ASHE linked to Migrant Workers Scan,user_guide,fills_gap,Migrant Workers Scan quick user guide,235631,b490eef9b889e2cae3ba6e340355f55663fe001ebf88480c6777d5c9ebfa7e50,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\MWS-Quick-User-Guide-v02-final-Dec2025.docx
Data-dictionary-MWS_Dec-25.xlsx,d007,ASHE linked to Migrant Workers Scan,data_dictionary,fills_gap,Migrant Workers Scan data dictionary,13007,f879a4bf1a8e6a4268ec196e04f19b14469e427db00e43394356e2a45565e5b9,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data-dictionary-MWS_Dec-25.xlsx
HMRC-Quick-User-Guide-v02.docx,d008,ASHE linked to PAYE and Self-Assessment,user_guide,fills_gap,HMRC PAYE and SA quick user guide,260919,0710303807991b6f7136c2393f312871b47ddbc52c71aa951e9d3f04ef13c54f,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\HMRC-Quick-User-Guide-v02.docx
Master_Metadata_v5.xlsx,d008,ASHE linked to PAYE and Self-Assessment,metadata_data_dictionary,fills_gap,Master metadata workbook for PAYE/SA WED data,98976,a1c69e9ebf2ff99cade3ca1315d92dc1da45c0105d0e1dd386ba5565d5491a9a,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Master_Metadata_v5.xlsx
PAYE-Variables.xlsx,d008,ASHE linked to PAYE and Self-Assessment,variable_list,fills_gap,PAYE variables workbook,29714,b40c2479dda49ab361b9e821183813e761989c05436e20d1f97da1823aaa01c3,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\PAYE-Variables.xlsx
SA-Variables.xlsx,d008,ASHE linked to PAYE and Self-Assessment,variable_list,fills_gap,Self Assessment variables workbook,52895,126afbf9a94322a77c82f254e68e0154a60722aed1f435fb82ab1204a6f473b9,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\SA-Variables.xlsx
creating-the-PAYE-panel-.pdf,d008,ASHE linked to PAYE and Self-Assessment,methodology,supplementary,PAYE panel creation documentation,1269376,777bc0b684ed08b8e653780ba3c7e4242580b379bdd5b542a72819992f2cbd36,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\creating-the-PAYE-panel-.pdf
refs.pdf,d008,ASHE linked to PAYE and Self-Assessment,reference_documentation,supplementary,ASHE/HMRC reference numbers guide,505034,ae603f81ad80b7bd2a32395af27f76e2ee64b678f1484e8044cbea710ae2fffa,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\refs.pdf
Data-Explained-HMRC.pdf,d008,ASHE linked to PAYE and Self-Assessment,data_explained,supplementary,ADR UK Data Explained,333206,18c471f189c0b67a2d22c29bd93ae1f42f4e1e8bb6364ca336a3c5c1ad0d135b,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data-Explained-HMRC.pdf
ADR_User_Guide_CIN_CRCS.pdf,d010,Children Receiving Care and Support Census Wales,user_guide,already_or_fills_gap,CRCS/CIN user guide,1727796,3f71330bf11577fcb66046cf56cfe796ea4d1a0aad5731c3f8bec9b5072b063d,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADR_User_Guide_CIN_CRCS.pdf
Data_Explained_-_Children_in_Need_and_Children_Receiving_Care_and_Support__administrative_records_in_Wales.pdf,d010,Children Receiving Care and Support Census Wales,data_explained,supplementary,ADR UK Data Explained; not a full data dictionary,4088712,f85b4d86fb86f7f278086d80027d55472981f634c33e15820cf17963181713df,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data_Explained_-_Children_in_Need_and_Children_Receiving_Care_and_Support__administrative_records_in_Wales.pdf
Data_First_User_Guide_Version_8.2.pdf,d012;d013;d021,d012;d013;d021,shared_user_guide,fills_gap,"Shared Data First introductory user guide relevant to Cross-Justice, Family Court, and MoJ-DfE",786369,01a65a6c9fc9a5d62d2ceb0251ad4815c792069e1b11c5be7572c5a46a96ad44,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data_First_User_Guide_Version_8.2.pdf
ONS_family_gov_uk_v1.ods,d013,Data First Family Court linked to Cafcass and Census 2021,family_court_data_catalogue,fills_gap,Family Court ODS data catalogue; does not cover Cafcass or Census 2021,83757,2034a85a63aa8ba4475aaeb76de4cd269d5151d499aa9785513226474bfb3d4d,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ONS_family_gov_uk_v1.ods
ECHILD_DataCatalogue_v3.1_20251209.xlsx,d015,ECHILD England,data_catalogue,fills_gap,ECHILD variable-level data catalogue,1387760,ace09045d1d12e775f50aac66aaba76ec6e38a2b37f2d1f89d164723277047f2,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ECHILD_DataCatalogue_v3.1_20251209.xlsx
database-structure.qmd,d015,ECHILD England,auxiliary_page_fragment,not_core_metadata,Small Quarto page fragment referencing a missing static image; not a data dictionary,260,5fd7b36bc87ab97e41d5a7eeea73fa47f529020b2e5eafeda064f3ce69a175a0,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\database-structure.qmd
GRADE_user_guide.pdf,d017,GRADE,user_guide,fills_gap,GRADE user guide,417272,943c11351f04b484d6bc592ddc55a8e38e57bb9c86c6f3473fcb62f433ee8618,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\GRADE_user_guide.pdf
GRADE_Ofqual_data_specification_shared_V2i__5_.ods,d017,GRADE,data_specification,fills_gap,Ofqual data specification,8230,1973aa63a8cc58a14cd8e2e7bed9a109da27e1b68034d46251123625ae6476ff,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\GRADE_Ofqual_data_specification_shared_V2i__5_.ods
GRADE_DfE_NPD_Specification_July2025.ods,d017,GRADE,data_specification,fills_gap,DfE NPD data specification,160009,39de6c3bc379271261004e123159b3663e96fb505d7e3473767dbcf204f763f7,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\GRADE_DfE_NPD_Specification_July2025.ods
348_Looked After Children Wales (LACW)_Metadata.csv,d019,Looked After Children Wales,metadata_catalogue,fills_gap,Health Data Gateway dataset metadata export,3781,cd73e25b03d3dc95fbabdf629998c6f72ad108fd8c0f8ae157b2318a174486d4,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\348_Looked After Children Wales (LACW)_Metadata.csv
348_Looked After Children Wales (LACW)_Structural_Metadata.csv,d019,Looked After Children Wales,structural_metadata_data_dictionary,fills_gap,Health Data Gateway structural metadata with table/column descriptions,21910,d7e5ca3611b219a14cea26031ea64b745510ea44cde486bc5782a6dd4de5d9fe,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\348_Looked After Children Wales (LACW)_Structural_Metadata.csv
348_Looked After Children Wales (LACW)_Observations.csv,d019,Looked After Children Wales,observations_metadata,supplementary,Health Data Gateway observations export,204,5c0e9a746a380ca6b0118eddbd096d38888e6827f5fc87598b710e9d5b249850,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\348_Looked After Children Wales (LACW)_Observations.csv
User-Guide-NMC-Census-2021.pdf,d022,NMC Register linked to Census 2021,user_guide,fills_gap,NMC Census 2021 user guide,276104,db4c3491786f139f74b36cc646facd82d5c77994c065fc2f46d3ea0f5ce73343,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\User-Guide-NMC-Census-2021.pdf
NMC-Census-Data-Dictionary-2026.xlsx,d022,NMC Register linked to Census 2021,data_dictionary,fills_gap,NMC Census 2021 data dictionary,284729,cf97cb94fc0e32bd6a7075cba3c4566215afca0221b81e26b47f8602ebb5b486,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\NMC-Census-Data-Dictionary-2026.xlsx
1215_Kids? Environment and Health Cohort_Metadata.csv,d025,KEHC Phase 1,metadata_catalogue,fills_gap_partial,Health Data Gateway metadata export; not variable-level structural metadata,,,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\1215_Kids? Environment and Health Cohort_Metadata.csv
eu-farm-structure-survey-data-dictionary.xlsx,UNASSIGNED,UNASSIGNED,auxiliary_or_wrong_dataset,not_counted,Scottish Government Farm Structure Survey data catalogue; not one of the 28 flagship datasets being audited,322431,c0b96326e3031a439a8081afe4a0d7206a667386ba32af8d72feb1eaafb838ef,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\eu-farm-structure-survey-data-dictionary.xlsx
